word,raw_word,length,writing_time,delay,log_prob
is,is,2,0.197,0.26580000001192094,-0.0269775390625
"packed,",packed,7,0.868,0.3707000000178814,-4.0078125
bags,bags,4,1.225,0.19110000002384187,-9.4375
are,are,3,0.581,0.2669000000059605,-3.673828125
"everywhere,",everywhere,11,5.39,0.4835999999940395,-2.4609375
people,people,6,1.009,0.28590000000596044,-0.42236328125
sitting,sitting,7,1.492,0.28869999998807905,-2.24609375
close,close,5,0.818,0.22009999999403954,-3.15234375
to,to,2,0.125,0.48119999998807905,-0.00389862060546875
each,each,4,0.574,0.19680000001192094,0.0
other,other,5,0.505,0.4855999999940395,-0.0009760856628417969
and,and,3,0.366,0.2674000000059605,-1.56640625
watching,watching,8,2.701,0.26159999999403954,-9.84375
in,in,2,1.433,0.17369999998807908,-7.484375
their,their,5,0.456,0.3931999999880791,-0.78466796875
phones.,phones,7,0.93,1.657199999988079,-9.828125
The,The,3,1.775,0.45580000001192095,-0.007781982421875
view,view,4,1.059,0.3175,-7.19140625
is,is,2,0.203,0.18469999998807907,-0.0126190185546875
full,full,4,0.434,0.21019999998807906,-1.9033203125
of,of,2,0.178,0.26530000001192094,-0.1434326171875
"green,",green,6,1.762,0.5805,-6.3046875
there,there,5,3.297,0.291,-0.00681304931640625
are,are,3,1.456,0.266,-0.00681304931640625
statues,statues,7,1.744,1.7868000000119209,-5.3828125
covered,covered,7,2.289,0.2855999999940395,-5.93359375
by,by,2,4.558,0.4063000000119209,-2.919921875
"flowers,",flowers,8,1.044,0.21840000000596047,-1.2119140625
and,and,3,0.336,0.21819999998807907,-0.56005859375
trees,trees,5,0.792,0.2666999999880791,-2.48828125
by,by,2,0.41,0.19130000001192093,-5.0234375
the,the,3,0.239,0.31339999997615814,-0.353271484375
sides.,sides,6,1.185,2.3060999999940397,-12.7578125
Artists,Artists,7,1.204,0.32959999999403955,-4.60546875
are,are,3,0.352,0.4644000000059605,-2.853515625
doing,doing,5,0.826,0.25690000000596047,-2.193359375
their,their,5,0.613,1.2324000000059605,-0.445068359375
"work,",work,5,1.702,0.245,-2.544921875
with,with,4,0.505,0.1465,-0.0596923828125
a,a,1,0.095,0.3582000000178814,-7.2578125
buzzing,buzzing,7,11.879,0.265,-5.09375
sound,sound,5,0.494,5.289300000011921,-0.300537109375
of,of,2,0.289,0.432,-1.2666015625
their,their,5,0.938,0.7471000000238418,-3.037109375
tatoo,tatoo,5,1.275,0.1915,-13.421875
machines,machines,8,0.845,0.6665,-1.974609375
being,being,5,1.032,0.22259999999403954,-1.259765625
the,the,3,0.33,0.2407999999821186,-0.026031494140625
main,main,4,0.532,0.5350999999940396,-3.615234375
sound.,sound,6,1.402,6.321699999988079,-15.9296875
It,It,2,0.409,0.3075,-0.002925872802734375
looks,looks,5,1.033,0.1677000000178814,-0.8935546875
like,like,4,0.381,0.2422000000178814,-0.0009760856628417969
the,the,3,0.311,0.48110000002384185,-0.072509765625
mural,mural,5,1.11,1.132,-0.43310546875
is,is,2,0.578,0.5505999999940395,-0.0706787109375
growing,growing,7,1.229,0.2840999999940395,-2.255859375
or,or,2,0.192,0.19409999999403954,-6.921875
evolving,evolving,8,1.299,0.2402000000178814,-4.87109375
as,as,2,0.243,0.7179000000059604,-0.10552978515625
the,the,3,0.707,0.6405999999940395,-0.429931640625
people,people,6,1.618,3.5585999999940396,-1.7109375
continue,continue,8,1.392,0.2666999999880791,-4.9609375
painting,painting,8,1.144,0.5643999999761582,-0.8466796875
it.,it,3,1.206,1.4185,-17.5
There,There,5,0.593,0.19989999997615815,-0.0009760856628417969
are,are,3,0.39,0.2407999999821186,-0.77490234375
plenty,plenty,6,0.777,0.2152999999821186,-4.265625
of,of,2,0.215,0.29640000000596045,-0.0019512176513671875
students,students,8,1.147,2.564800000011921,-2.1328125
in,in,2,0.29,1.9965,-0.01934814453125
their,their,5,2.842,0.713,-0.296142578125
specific,specific,8,1.208,4.374299999982119,-11.7109375
"gowns,",gowns,6,1.03,6.5723000000119205,-8.4453125
parents,parents,7,5.949,0.23719999998807906,-4.4765625
and,and,3,0.425,0.24059999999403953,-0.040191650390625
"teacher,",teacher,8,1.97,0.14759999999403953,-7.84765625
all,all,3,0.337,0.313,-0.0241241455078125
looking,looking,7,1.37,0.5608000000119209,-1.6171875
happy.,happy,6,1.22,2.240199999988079,-19.40625
The,The,3,0.696,0.7205999999940396,-0.09228515625
park,park,4,1.634,0.2582000000178814,-1.7744140625
is,is,2,0.224,0.2637999999821186,-0.15185546875
"quite,",quite,6,0.967,0.5006999999880791,-11.3125
with,with,4,0.728,0.4890999999940395,-0.74072265625
joggers,joggers,7,2.055,0.3548000000119209,-13.515625
running,running,7,1.114,1.1034000000059605,-3.33984375
on,on,2,1.089,0.4933000000119209,-5.4296875
alleys,alleys,6,0.862,2.020800000011921,-13.3125
being,being,5,2.401,0.6490999999940396,-2.173828125
